,songs,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
79,One Thing Right,"Marshmello, Kane Brown",Top Songs of 2020: Canada,0.659,0.625,4.0,-2.253,1.0,0.045,0.0644,0.0,0.582,0.442,88.042,181824.0,69.0
80,Blueberry Faygo,Lil Mosey,Top Songs of 2020: Canada,0.774,0.554,0.0,-7.909,1.0,0.0383,0.207,0.0,0.132,0.349,99.034,162547.0,72.0
81,hot girl bummer,blackbear,Top Songs of 2020: Canada,0.782,0.559,6.0,-7.106,0.0,0.0767,0.125,0.0,0.385,0.685,129.992,188344.0,75.0
82,Ballin’,"Mustard, Roddy Ricch",Top Songs of 2020: Canada,0.809,0.545,7.0,-6.678,1.0,0.0735,0.392,0.0,0.151,0.244,97.008,180435.0,76.0
83,bad guy,Billie Eilish,Top Songs of 2020: Canada,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,194088.0,80.0
84,I Hope,Gabby Barrett,Top Songs of 2020: Canada,0.466,0.536,6.0,-6.227,1.0,0.0429,0.0951,0.0,0.114,0.377,75.998,210773.0,70.0
85,Breaking Me,"Topic, A7S",Top Songs of 2020: Canada,0.789,0.72,8.0,-5.652,0.0,0.218,0.223,0.0,0.129,0.664,122.031,166794.0,73.0
88,Señorita,"Shawn Mendes, Camila Cabello",Top Songs of 2020: Canada,0.759,0.548,9.0,-6.049,0.0,0.029,0.0392,0.0,0.0828,0.749,116.967,190800.0,78.0
89,July,Noah Cyrus,Top Songs of 2020: Canada,0.708,0.186,9.0,-8.953,0.0,0.042,0.868,0.0,0.0779,0.322,72.541,156106.0,77.0
90,Woah,Lil Baby,Top Songs of 2020: Canada,0.882,0.602,11.0,-5.554,1.0,0.245,0.0177,0.0,0.178,0.43,142.959,183011.0,64.0
91,Whiskey Glasses,Morgan Wallen,Top Songs of 2020: Canada,0.614,0.68,6.0,-4.58,1.0,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347.0,77.0
92,Beer Never Broke My Heart,Luke Combs,Top Songs of 2020: Canada,0.538,0.863,1.0,-4.483,1.0,0.0481,0.0139,0.0,0.0874,0.637,77.001,186733.0,74.0
93,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,Top Songs of 2020: Canada,0.857,0.621,9.0,-6.376,0.0,0.0825,0.148,0.0,0.0865,0.668,97.989,204467.0,72.0
94,Wow.,Post Malone,Top Songs of 2020: Canada,0.829,0.539,11.0,-7.359,0.0,0.208,0.136,1.78e-06,0.103,0.388,99.96,149547.0,78.0
95,Party Girl,StaySolidRocky,Top Songs of 2020: Canada,0.728,0.431,6.0,-9.966,0.0,0.0622,0.749,0.0,0.0996,0.629,130.022,147800.0,68.0
96,OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott",Top Songs of 2020: Canada,0.802,0.591,8.0,-4.895,1.0,0.225,0.0104,0.0,0.196,0.309,139.864,157712.0,74.0
97,Shallow,"Lady Gaga, Bradley Cooper",Top Songs of 2020: Canada,0.572,0.385,7.0,-6.362,1.0,0.0308,0.371,0.0,0.231,0.323,95.799,215733.0,81.0
98,SICKO MODE,Travis Scott,Top Songs of 2020: Canada,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,312820.0,79.0
99,Truth Hurts,Lizzo,Top Songs of 2020: Canada,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,173325.0,72.0
100,Kissing Other People,Lennon Stella,Top Songs of 2020: Canada,0.71,0.662,2.0,-5.941,1.0,0.0717,0.548,2.23e-06,0.119,0.3,94.007,161760.0,55.0
101,Lalala,"Y2K, bbno$",Top Songs of 2020: Canada,0.843,0.39,2.0,-7.899,1.0,0.0846,0.178,0.0,0.137,0.495,129.972,160627.0,71.0
102,Chasin' You,Morgan Wallen,Top Songs of 2020: Canada,0.631,0.591,7.0,-5.785,1.0,0.0277,0.657,0.0,0.11,0.489,97.074,205453.0,77.0
103,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",Top Songs of 2020: Canada,0.716,0.537,0.0,-7.648,0.0,0.0514,0.233,0.0,0.157,0.28,129.979,165978.0,72.0
104,The Bones,"Maren Morris, Hozier",Top Songs of 2020: Canada,0.561,0.597,11.0,-6.0,0.0,0.0405,0.286,0.0,0.0979,0.355,76.826,197299.0,66.0
105,Higher Love,"Kygo, Whitney Houston",Top Songs of 2020: Canada,0.693,0.678,8.0,-7.159,1.0,0.0324,0.0151,5.71e-06,0.101,0.404,103.952,228267.0,72.0
106,One Man Band,Old Dominion,Top Songs of 2020: Canada,0.706,0.358,6.0,-8.331,1.0,0.0347,0.677,0.0,0.107,0.478,75.991,186240.0,71.0
107,Lucid Dreams,Juice WRLD,Top Songs of 2020: Canada,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,239836.0,82.0
108,More Than My Hometown,Morgan Wallen,Top Songs of 2020: Canada,0.62,0.869,6.0,-5.479,1.0,0.0462,0.615,0.0,0.131,0.597,126.019,216573.0,75.0
109,Know Your Worth,"Khalid, Disclosure",Top Songs of 2020: Canada,0.79,0.694,9.0,-7.726,0.0,0.0708,0.145,0.00252,0.281,0.508,103.007,181436.0,66.0
111,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",Top Songs of 2020: Canada,0.721,0.716,10.0,-7.037,0.0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714.0,69.0
112,Good as Hell (feat. Ariana Grande) [Remix],Lizzo,Top Songs of 2020: Canada,0.668,0.892,5.0,-3.001,0.0,0.0645,0.298,0.0,0.735,0.478,95.927,159011.0,61.0
113,No Guidance (feat. Drake),Chris Brown,Top Songs of 2020: Canada,0.696,0.454,1.0,-6.756,0.0,0.153,0.123,0.0,0.155,0.136,92.928,260640.0,76.0
114,Robbery,Juice WRLD,Top Songs of 2020: Canada,0.623,0.692,2.0,-5.122,1.0,0.0504,0.328,0.0,0.153,0.566,79.899,240051.0,78.0
115,Ransom,Lil Tecca,Top Songs of 2020: Canada,0.745,0.642,7.0,-6.257,0.0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240.0,77.0
116,Suicidal,YNW Melly,Top Songs of 2020: Canada,0.735,0.369,9.0,-9.682,0.0,0.0688,0.334,0.0,0.126,0.235,140.004,222997.0,71.0
117,F.N,Lil Tjay,Top Songs of 2020: Canada,0.567,0.515,6.0,-10.265,0.0,0.247,0.354,0.0,0.078,0.321,120.1,224000.0,74.0
118,It's You,Ali Gatie,Top Songs of 2020: Canada,0.732,0.463,11.0,-6.972,0.0,0.0287,0.374,0.0,0.194,0.397,95.971,212607.0,76.0
119,Beautiful Crazy,Luke Combs,Top Songs of 2020: Canada,0.551,0.402,11.0,-7.431,1.0,0.0262,0.676,0.0,0.0928,0.382,103.313,193200.0,77.0
120,when the party's over,Billie Eilish,Top Songs of 2020: Canada,0.367,0.111,4.0,-14.084,1.0,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077.0,80.0
121,No Idea,Don Toliver,Top Songs of 2020: Canada,0.652,0.631,6.0,-5.718,0.0,0.0893,0.524,0.000579,0.165,0.35,127.998,154424.0,76.0
122,Falling,Harry Styles,Top Songs of 2020: Canada,0.567,0.267,4.0,-6.502,1.0,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133.0,81.0
123,VIBEZ,DaBaby,Top Songs of 2020: Canada,0.768,0.652,1.0,-2.708,0.0,0.307,0.113,0.0,0.107,0.777,154.187,144935.0,66.0
124,Hard to Forget,Sam Hunt,Top Songs of 2020: Canada,0.689,0.689,4.0,-5.517,1.0,0.045,0.23,0.0,0.57,0.664,130.069,204760.0,60.0
125,Beautiful People (feat. Khalid),Ed Sheeran,Top Songs of 2020: Canada,0.64,0.648,5.0,-8.113,0.0,0.187,0.124,0.0,0.0802,0.548,92.977,197867.0,71.0
126,Suge,DaBaby,Top Songs of 2020: Canada,0.876,0.662,2.0,-6.482,0.0,0.426,0.0608,0.0,0.127,0.844,75.445,163320.0,68.0
127,drivers license,Olivia Rodrigo,Top Songs of 2021: Canada,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013.0,83.0
128,Levitating (feat. DaBaby),Dua Lipa,Top Songs of 2021: Canada,0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064.0,81.0
129,STAY,"The Kid LAROI, Justin Bieber",Top Songs of 2021: Canada,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,141806.0,84.0
130,WITHOUT YOU,The Kid LAROI,Top Songs of 2021: Canada,0.662,0.413,0.0,-7.357,1.0,0.0299,0.213,0.0,0.134,0.467,93.005,161385.0,75.0
131,Forever After All,Luke Combs,Top Songs of 2021: Canada,0.487,0.65,0.0,-5.195,1.0,0.0253,0.191,0.0,0.0933,0.456,151.964,232533.0,75.0
132,Blinding Lights,The Weeknd,Top Songs of 2021: Canada,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,88.0
133,Kiss Me More (feat. SZA),Doja Cat,Top Songs of 2021: Canada,0.764,0.705,8.0,-3.463,1.0,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667.0,78.0
134,Whoopty,CJ,Top Songs of 2021: Canada,0.719,0.648,3.0,-7.6,0.0,0.125,0.2,0.0,0.127,0.66,140.201,123263.0,70.0
135,RAPSTAR,Polo G,Top Songs of 2021: Canada,0.789,0.536,6.0,-6.862,1.0,0.242,0.41,0.0,0.129,0.437,81.039,165926.0,78.0
136,Save Your Tears,The Weeknd,Top Songs of 2021: Canada,0.684,0.82,0.0,-5.495,1.0,0.0307,0.0216,2.33e-05,0.44,0.62,118.062,215627.0,0.0
137,my ex's best friend,"Machine Gun Kelly, blackbear",Top Songs of 2021: Canada,0.731,0.675,5.0,-5.134,0.0,0.0434,0.00473,0.0,0.141,0.298,124.939,139461.0,74.0
