,songs,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
120,VIBEZ,DaBaby,Top Songs of 2020: USA,0.768,0.652,1.0,-2.708,0.0,0.307,0.113,0.0,0.107,0.777,154.187,144935.0,65.0
121,everything i wanted,Billie Eilish,Top Songs of 2020: USA,0.704,0.225,6.0,-14.454,0.0,0.0994,0.902,0.657,0.106,0.243,120.006,245426.0,80.0
122,Toosie Slide,Drake,Top Songs of 2020: USA,0.834,0.454,1.0,-9.75,0.0,0.201,0.321,6.15e-06,0.114,0.837,81.618,247059.0,69.0
123,Emotionally Scarred,Lil Baby,Top Songs of 2020: USA,0.585,0.641,6.0,-4.269,0.0,0.133,0.0286,0.0,0.316,0.266,88.284,197530.0,69.0
124,OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott",Top Songs of 2020: USA,0.802,0.591,8.0,-4.895,1.0,0.225,0.0104,0.0,0.196,0.309,139.864,157712.0,73.0
125,Make No Sense,YoungBoy Never Broke Again,Top Songs of 2020: USA,0.876,0.733,10.0,-4.478,0.0,0.333,0.0208,0.0,0.0999,0.962,154.904,148630.0,71.0
126,Don't Start Now,Dua Lipa,Top Songs of 2020: USA,0.726,0.588,4.0,-12.406,0.0,0.0569,0.00168,0.00814,0.0809,0.673,114.988,267253.0,34.0
127,Someone You Loved,Lewis Capaldi,Top Songs of 2020: USA,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,84.0
128,Blueberry Faygo,Lil Mosey,Top Songs of 2020: USA,0.774,0.554,0.0,-7.909,1.0,0.0383,0.207,0.0,0.132,0.349,99.034,162547.0,71.0
129,Heartless,The Weeknd,Top Songs of 2020: USA,0.537,0.746,10.0,-5.507,0.0,0.15,0.0236,1.01e-06,0.156,0.252,170.062,198267.0,81.0
130,Adore You,Harry Styles,Top Songs of 2020: USA,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133.0,81.0
131,Heartless (feat. Morgan Wallen),Diplo,Top Songs of 2020: USA,0.765,0.556,11.0,-6.417,1.0,0.0512,0.275,0.0,0.0824,0.274,111.033,169227.0,74.0
132,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,Top Songs of 2020: USA,0.816,0.582,8.0,-4.141,1.0,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366.0,64.0
133,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2020: USA,0.76,0.479,2.0,-5.574,1.0,0.0466,0.556,0.0,0.0703,0.913,89.911,158040.0,79.0
134,P*$$Y Fairy (OTW),Jhené Aiko,Top Songs of 2020: USA,0.572,0.519,2.0,-7.092,0.0,0.212,0.536,0.0,0.102,0.35,128.331,181860.0,65.0
135,Intentions (feat. Quavo),Justin Bieber,Top Songs of 2020: USA,0.806,0.546,9.0,-6.637,1.0,0.0575,0.3,0.0,0.102,0.874,147.986,212867.0,72.0
136,Falling,Trevor Daniel,Top Songs of 2020: USA,0.785,0.431,10.0,-8.756,0.0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382.0,75.0
137,Watermelon Sugar,Harry Styles,Top Songs of 2020: USA,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,85.0
138,Playing Games (Extended Version),"Summer Walker, Bryson Tiller",Top Songs of 2020: USA,0.726,0.408,11.0,-6.606,0.0,0.0614,0.603,0.0,0.225,0.459,115.918,143227.0,73.0
139,WHATS POPPIN,Jack Harlow,Top Songs of 2020: USA,0.923,0.604,11.0,-6.671,0.0,0.245,0.017,0.0,0.272,0.826,145.062,139741.0,73.0
140,Dior,Pop Smoke,Top Songs of 2020: USA,0.548,0.805,7.0,-5.732,1.0,0.351,0.212,0.000389,0.408,0.648,142.094,216387.0,79.0
141,Go Crazy,"Chris Brown, Young Thug",Top Songs of 2020: USA,0.755,0.578,0.0,-8.932,0.0,0.145,0.316,0.0,0.25,0.581,94.148,176960.0,73.0
142,Lose You to Love Me,Selena Gomez,Top Songs of 2020: USA,0.488,0.343,4.0,-8.985,1.0,0.0436,0.556,0.0,0.21,0.0978,102.819,206459.0,77.0
143,Heart on Ice,Rod Wave,Top Songs of 2020: USA,0.732,0.387,10.0,-8.47,0.0,0.0741,0.0493,0.0,0.141,0.242,157.875,159670.0,68.0
144,Suicidal,YNW Melly,Top Songs of 2020: USA,0.735,0.369,9.0,-9.682,0.0,0.0688,0.334,0.0,0.126,0.235,140.004,222997.0,70.0
145,Grace,"Lil Baby, 42 Dugg",Top Songs of 2020: USA,0.817,0.513,10.0,-6.263,0.0,0.394,0.38,0.0,0.109,0.177,123.029,203438.0,66.0
146,hot girl bummer,blackbear,Top Songs of 2020: USA,0.782,0.559,6.0,-7.106,0.0,0.0767,0.125,0.0,0.385,0.685,129.992,188344.0,75.0
147,Mood Swings (feat. Lil Tjay),Pop Smoke,Top Songs of 2020: USA,0.48,0.602,10.0,-6.335,0.0,0.368,0.487,0.0,0.0848,0.269,179.798,213333.0,74.0
149,Come Thru,"Summer Walker, Usher",Top Songs of 2020: USA,0.679,0.728,5.0,-3.092,0.0,0.154,0.159,0.0,0.107,0.46,152.001,181013.0,66.0
150,Commercial (feat. Lil Uzi Vert),Lil Baby,Top Songs of 2020: USA,0.892,0.486,11.0,-8.637,0.0,0.384,0.048,0.0,0.146,0.535,120.998,214215.0,63.0
151,Vete,Bad Bunny,Top Songs of 2020: USA,0.886,0.672,1.0,-4.394,1.0,0.188,0.0363,8.78e-06,0.101,0.526,91.976,192024.0,73.0
152,"10,000 Hours","Dan + Shay, Justin Bieber",Top Songs of 2020: USA,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,167693.0,73.0
153,No Idea,Don Toliver,Top Songs of 2020: USA,0.652,0.631,6.0,-5.718,0.0,0.0893,0.524,0.000579,0.165,0.35,127.998,154424.0,76.0
154,Laugh Now Cry Later (feat. Lil Durk),Drake,Top Songs of 2020: USA,0.761,0.518,0.0,-8.871,1.0,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493.0,75.0
155,I Hope,Gabby Barrett,Top Songs of 2020: USA,0.466,0.536,6.0,-6.227,1.0,0.0429,0.0951,0.0,0.114,0.377,75.998,210773.0,70.0
156,Roses (Imanbek Remix),SAINt JHN,Top Songs of 2020: USA,0.769,0.719,8.0,-5.472,1.0,0.0474,0.0143,0.00777,0.359,0.863,121.955,176867.0,63.0
