,songs,artist,title
95,Ghost,Justin Bieber,Top Songs of 2022: USA
96,Pepas,Farruko,Top Songs of 2022: USA
97,Low Down,Lil Baby,Top Songs of 2022: USA
98,traitor,Olivia Rodrigo,Top Songs of 2022: USA
99,Headlines,Drake,Top Songs of 2022: USA
0,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2019: New Zealand
1,Shallow,"Lady Gaga, Bradley Cooper",Top Songs of 2019: New Zealand
2,"thank u, next",Ariana Grande,Top Songs of 2019: New Zealand
3,Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X,Top Songs of 2019: New Zealand
4,Eastside,"benny blanco, Halsey, Khalid",Top Songs of 2019: New Zealand
5,Sweet but Psycho,Ava Max,Top Songs of 2019: New Zealand
