,songs,artist,title
69,Whiskey Glasses,Morgan Wallen,Top Songs of 2021: Canada
70,willow,Taylor Swift,Top Songs of 2021: Canada
71,Dior,Pop Smoke,Top Songs of 2021: Canada
72,One of Them Girls,Lee Brice,Top Songs of 2021: Canada
73,Before You Go,Lewis Capaldi,Top Songs of 2021: Canada
74,No Role Modelz,J. Cole,Top Songs of 2021: Canada
75,Attachments (feat. Taliban Glizzy),Pressa,Top Songs of 2021: Canada
76,Hello (feat. A Boogie wit da Hoodie),Pop Smoke,Top Songs of 2021: Canada
77,Beautiful Crazy,Luke Combs,Top Songs of 2021: Canada
78,Come & Go,"Juice WRLD, Marshmello",Top Songs of 2021: Canada
79,Ride It,Regard,Top Songs of 2021: Canada
80,Don't Start Now,Dua Lipa,Top Songs of 2021: Canada
81,Still Goin' Down,Morgan Wallen,Top Songs of 2021: Canada
82,Intentions (feat. Quavo),Justin Bieber,Top Songs of 2021: Canada
83,The Box,Roddy Ricch,Top Songs of 2021: Canada
84,goosebumps,Travis Scott,Top Songs of 2021: Canada
85,HEARTBREAK ANNIVERSARY,GIVĒON,Top Songs of 2021: Canada
86,Sand In My Boots,Morgan Wallen,Top Songs of 2021: Canada
87,Streets,Doja Cat,Top Songs of 2021: Canada
88,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,Top Songs of 2021: Canada
89,Back In Blood (feat. Lil Durk),Pooh Shiesty,Top Songs of 2021: Canada
90,Hell of a View,Eric Church,Top Songs of 2021: Canada
91,Way 2 Sexy (feat. Future & Young Thug),Drake,Top Songs of 2021: Canada
92,Spicy (feat. Post Malone),Ty Dolla $ign,Top Songs of 2021: Canada
93,Take You Dancing,Jason Derulo,Top Songs of 2021: Canada
94,Lil Bit,"Nelly, Florida Georgia Line",Top Songs of 2021: Canada
95,Element,Pop Smoke,Top Songs of 2021: Canada
96,You're Mines Still,Yung Bleu,Top Songs of 2021: Canada
97,bad guy,Billie Eilish,Top Songs of 2021: Canada
98,Save Your Tears (Remix),"The Weeknd, Ariana Grande",Top Songs of 2021: Canada
99,I Hope,Gabby Barrett,Top Songs of 2021: Canada
