,songs,artist_x,title,artist_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,country
171,Nice For What,Drake,Top Songs of 2019: USA,Drake,0.585,0.909,8.0,-6.474,1.0,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,2019,USA
172,Startender (feat. Offset and Tyga),A Boogie wit da Hoodie,Top Songs of 2019: USA,A Boogie wit da Hoodie,0.736,0.622,6.0,-4.653,0.0,0.133,0.0235,0.0,0.151,0.506,191.971,2019,USA
173,Taste (feat. Offset),Tyga,Top Songs of 2019: USA,Tyga,0.884,0.559,0.0,-7.442,1.0,0.12,0.0236,0.0,0.101,0.342,97.994,2019,USA
176,Moonlight,XXXTENTACION,Top Songs of 2019: USA,XXXTENTACION,0.921,0.537,9.0,-5.723,0.0,0.0804,0.556,0.00404,0.102,0.711,128.009,2019,USA
177,rockstar (feat. 21 Savage),Post Malone,Top Songs of 2019: USA,Post Malone,0.585,0.52,5.0,-6.136,0.0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,2019,USA
180,Ballin’,"Mustard, Roddy Ricch",Top Songs of 2019: USA,"Mustard, Roddy Ricch",0.809,0.545,7.0,-6.678,1.0,0.0735,0.392,0.0,0.151,0.244,97.008,2019,USA
183,Whiskey Glasses,Morgan Wallen,Top Songs of 2019: USA,Morgan Wallen,0.614,0.68,6.0,-4.58,1.0,0.0289,0.369,1.84e-06,0.115,0.707,149.959,2019,USA
187,Fine China,"Future, Juice WRLD",Top Songs of 2019: USA,"Future, Juice WRLD",0.656,0.542,7.0,-7.358,1.0,0.323,0.0484,0.0,0.126,0.551,166.111,2019,USA
188,EARFQUAKE,"Tyler, The Creator",Top Songs of 2019: USA,"Tyler, The Creator",0.554,0.498,9.0,-8.866,1.0,0.0685,0.23,5.98e-06,0.795,0.413,79.635,2019,USA
189,can't leave without it,21 Savage,Top Songs of 2019: USA,21 Savage,0.872,0.591,6.0,-6.952,0.0,0.359,0.111,0.0,0.144,0.696,131.982,2019,USA
190,I Fall Apart,Post Malone,Top Songs of 2019: USA,Post Malone,0.556,0.538,8.0,-5.408,0.0,0.0382,0.0689,0.0,0.196,0.291,143.95,2019,USA
193,God's Plan,Drake,Top Songs of 2019: USA,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,2019,USA
